period,timedelta,dst
train_a,0 days 00:00:00,-7
train_a,0 days 01:00:00,-10
train_a,0 days 02:00:00,-10
train_a,0 days 03:00:00,-6
train_a,0 days 04:00:00,-2
train_a,0 days 05:00:00,3
train_a,0 days 06:00:00,5
train_a,0 days 07:00:00,5
train_a,0 days 08:00:00,3
train_a,0 days 09:00:00,1
train_a,0 days 10:00:00,1
train_a,0 days 11:00:00,2
train_a,0 days 12:00:00,2
train_a,0 days 13:00:00,3
train_a,0 days 14:00:00,3
train_a,0 days 15:00:00,4
train_a,0 days 16:00:00,6
train_a,0 days 17:00:00,5
train_a,0 days 18:00:00,5
train_a,0 days 19:00:00,3
train_a,0 days 20:00:00,1
train_a,0 days 21:00:00,1
train_a,0 days 22:00:00,-2
train_a,0 days 23:00:00,-3
train_a,1 days 00:00:00,-7
train_a,1 days 01:00:00,-7
train_a,1 days 02:00:00,-5
train_a,1 days 03:00:00,0
train_a,1 days 04:00:00,3
train_a,1 days 05:00:00,3
train_a,1 days 06:00:00,4
train_a,1 days 07:00:00,9
train_a,1 days 08:00:00,8
train_a,1 days 09:00:00,5
train_a,1 days 10:00:00,12
train_a,1 days 11:00:00,14
train_a,1 days 12:00:00,13
train_a,1 days 13:00:00,5
train_a,1 days 14:00:00,-5
train_a,1 days 15:00:00,-10
train_a,1 days 16:00:00,-20
train_a,1 days 17:00:00,-32
train_a,1 days 18:00:00,-47
train_a,1 days 19:00:00,-54
train_a,1 days 20:00:00,-66
train_a,1 days 21:00:00,-77
train_a,1 days 22:00:00,-92
train_a,1 days 23:00:00,-95
train_a,2 days 00:00:00,-100
train_a,2 days 01:00:00,-98
train_a,2 days 02:00:00,-89
train_a,2 days 03:00:00,-90
train_a,2 days 04:00:00,-79
train_a,2 days 05:00:00,-73
train_a,2 days 06:00:00,-69
train_a,2 days 07:00:00,-68
train_a,2 days 08:00:00,-63
train_a,2 days 09:00:00,-59
train_a,2 days 10:00:00,-53
train_a,2 days 11:00:00,-44
train_a,2 days 12:00:00,-38
train_a,2 days 13:00:00,-40
train_a,2 days 14:00:00,-45
train_a,2 days 15:00:00,-40
train_a,2 days 16:00:00,-31
train_a,2 days 17:00:00,-39
train_a,2 days 18:00:00,-47
train_a,2 days 19:00:00,-51
train_a,2 days 20:00:00,-46
train_a,2 days 21:00:00,-35
train_a,2 days 22:00:00,-39
train_a,2 days 23:00:00,-42
train_a,3 days 00:00:00,-43
train_a,3 days 01:00:00,-42
train_a,3 days 02:00:00,-38
train_a,3 days 03:00:00,-32
train_a,3 days 04:00:00,-30
train_a,3 days 05:00:00,-28
train_a,3 days 06:00:00,-26
train_a,3 days 07:00:00,-27
train_a,3 days 08:00:00,-30
train_a,3 days 09:00:00,-32
train_a,3 days 10:00:00,-32
train_a,3 days 11:00:00,-34
train_a,3 days 12:00:00,-34
train_a,3 days 13:00:00,-34
train_a,3 days 14:00:00,-32
train_a,3 days 15:00:00,-28
train_a,3 days 16:00:00,-27
train_a,3 days 17:00:00,-30
train_a,3 days 18:00:00,-34
train_a,3 days 19:00:00,-37
train_a,3 days 20:00:00,-40
train_a,3 days 21:00:00,-43
train_a,3 days 22:00:00,-45
train_a,3 days 23:00:00,-48
train_a,4 days 00:00:00,-50
train_a,4 days 01:00:00,-49
train_a,4 days 02:00:00,-44
train_a,4 days 03:00:00,-33
train_a,4 days 04:00:00,-31
train_a,4 days 05:00:00,-29
train_a,4 days 06:00:00,-29
