period,timedelta,gse_x_ace,gse_y_ace,gse_z_ace,gse_x_dscovr,gse_y_dscovr,gse_z_dscovr
train_a,0 days,1522376.9,143704.6,149496.7,,,
train_a,1 days,1525410.9,136108.8,151034.1,,,
train_a,2 days,1528484.9,128470.5,152387.7,,,
train_a,3 days,1531570.3,120818.4,153561.4,,,
train_a,4 days,1534633.1,113178.5,154534.6,,,
train_a,5 days,1537665.1,105642.0,155109.6,,,
train_a,6 days,1540651.5,98248.0,155219.4,,,
train_a,7 days,1543439.9,90764.9,155570.9,,,
train_a,8 days,1546022.1,83342.7,155706.8,,,
train_a,9 days,1548391.8,75960.9,155665.9,,,
train_a,10 days,1550491.3,68603.6,155435.1,,,
train_a,11 days,1552265.6,61235.7,155009.3,,,
train_a,12 days,1553769.7,53833.2,154435.6,,,
train_a,13 days,1554876.0,46322.3,153660.0,,,
train_a,14 days,1555663.1,38670.6,152725.1,,,
train_a,15 days,1556158.7,30841.9,151638.8,,,
train_a,16 days,1556389.6,22797.5,150401.0,,,
train_a,17 days,1556408.7,14524.6,149020.6,,,
train_a,18 days,1554985.3,6274.4,147366.0,,,
train_a,19 days,1551880.3,-1839.1,145425.5,,,
train_a,20 days,1551241.3,-11136.1,143312.2,,,
train_a,21 days,1550592.6,-20967.9,140926.4,,,
train_a,22 days,1549870.7,-30062.2,139033.8,,,
train_a,23 days,1549181.8,-39263.9,136992.4,,,
train_a,24 days,1548541.5,-48522.0,134819.2,,,
train_a,25 days,1547973.2,-57797.6,132494.1,,,
train_a,26 days,1547481.3,-67043.5,130026.5,,,
train_a,27 days,1547071.1,-76214.6,127412.2,,,
train_a,28 days,1546744.6,-85258.0,124643.2,,,
train_a,29 days,1546486.7,-94146.3,121734.1,,,
train_a,30 days,1546292.8,-102818.9,118669.6,,,
train_a,31 days,1546142.2,-111247.7,115457.8,,,
train_a,32 days,1546231.7,-120400.3,109269.7,,,
train_a,33 days,1546466.2,-129971.4,100964.0,,,
train_a,34 days,1546312.0,-137568.3,97059.0,,,
train_a,35 days,1546091.3,-144762.6,93107.8,,,
train_a,36 days,1545761.1,-151625.5,88961.9,,,
train_a,37 days,1545032.7,-156932.8,87800.7,,,
train_a,38 days,1544159.2,-162085.4,86051.1,,,
train_a,39 days,1543593.2,-169941.3,75850.4,,,
train_a,40 days,1542170.1,-175305.5,71280.5,,,
train_a,41 days,1540515.5,-180435.9,66649.7,,,
train_a,42 days,1538486.4,-185278.1,61941.0,,,
train_a,43 days,1536138.6,-189933.8,57176.8,,,
train_a,44 days,1533530.2,-194457.0,52370.3,,,
train_a,45 days,1530790.4,-198935.9,47536.8,,,
train_a,46 days,1527776.4,-203309.7,42652.6,,,
train_a,47 days,1524663.9,-207623.3,37757.5,,,
