period,timedelta,smoothed_ssn
train_a,0 days 00:00:00,65.4
train_a,13 days 00:00:00,72.0
train_a,44 days 00:00:00,76.9
train_a,74 days 00:00:00,80.8
train_a,105 days 00:00:00,85.4
train_a,135 days 00:00:00,89.8
train_a,166 days 00:00:00,93.5
train_a,197 days 00:00:00,96.4
train_a,227 days 00:00:00,98.2
train_a,258 days 00:00:00,102.3
train_a,288 days 00:00:00,110.4
train_a,319 days 00:00:00,118.4
train_a,350 days 00:00:00,122.5
train_a,378 days 00:00:00,122.3
train_a,409 days 00:00:00,125.0
train_a,439 days 00:00:00,132.6
train_a,470 days 00:00:00,136.3
train_a,500 days 00:00:00,138.1
train_a,531 days 00:00:00,142.9
train_a,562 days 00:00:00,150.5
train_a,592 days 00:00:00,159.3
train_a,623 days 00:00:00,164.1
train_a,653 days 00:00:00,164.0
train_a,684 days 00:00:00,166.1
train_a,715 days 00:00:00,170.6
train_a,744 days 00:00:00,174.3
train_a,775 days 00:00:00,175.2
train_a,805 days 00:00:00,172.9
train_a,836 days 00:00:00,172.7
train_a,866 days 00:00:00,174.2
train_a,897 days 00:00:00,172.8
train_a,928 days 00:00:00,168.8
train_a,958 days 00:00:00,165.3
train_a,989 days 00:00:00,163.1
train_a,1019 days 00:00:00,162.7
train_a,1050 days 00:00:00,158.3
train_a,1081 days 00:00:00,152.5
train_a,1109 days 00:00:00,155.1
train_a,1140 days 00:00:00,160.7
train_a,1170 days 00:00:00,163.7
train_b,0 days 00:00:00,90.9
train_b,30 days 00:00:00,94.6
train_b,61 days 00:00:00,99.0
train_b,92 days 00:00:00,104.6
train_b,122 days 00:00:00,107.0
train_b,153 days 00:00:00,106.9
train_b,183 days 00:00:00,107.6
train_b,214 days 00:00:00,109.3
train_b,245 days 00:00:00,110.5
train_b,273 days 00:00:00,114.3
train_b,304 days 00:00:00,116.4
train_b,334 days 00:00:00,115.0
train_b,365 days 00:00:00,114.1
train_b,395 days 00:00:00,112.6
train_b,426 days 00:00:00,108.3
train_b,457 days 00:00:00,101.9
train_b,487 days 00:00:00,97.3
train_b,518 days 00:00:00,94.7
train_b,548 days 00:00:00,92.2
train_b,579 days 00:00:00,89.3
train_b,610 days 00:00:00,86.1
train_b,638 days 00:00:00,82.1
train_b,669 days 00:00:00,78.9
train_b,699 days 00:00:00,76.1
train_b,730 days 00:00:00,72.1
train_b,760 days 00:00:00,68.3
train_b,791 days 00:00:00,66.4
train_b,822 days 00:00:00,65.9
train_b,852 days 00:00:00,64.3
train_b,883 days 00:00:00,61.2
train_b,913 days 00:00:00,57.8
train_b,944 days 00:00:00,54.4
train_b,975 days 00:00:00,52.5
train_b,1004 days 00:00:00,50.4
train_b,1035 days 00:00:00,47.8
train_b,1065 days 00:00:00,44.8
train_b,1096 days 00:00:00,41.5
train_b,1126 days 00:00:00,38.5
train_b,1157 days 00:00:00,36.0
train_b,1188 days 00:00:00,33.2
train_b,1218 days 00:00:00,31.5
train_b,1249 days 00:00:00,29.9
train_b,1279 days 00:00:00,28.5
train_b,1310 days 00:00:00,27.8
train_b,1341 days 00:00:00,26.5
train_b,1369 days 00:00:00,25.7
train_b,1400 days 00:00:00,24.8
train_b,1430 days 00:00:00,23.3
train_b,1461 days 00:00:00,22.2
train_b,1491 days 00:00:00,21.0
train_b,1522 days 00:00:00,19.6
train_b,1553 days 00:00:00,18.3
train_b,1583 days 00:00:00,16.7
train_b,1614 days 00:00:00,15.4
train_b,1644 days 00:00:00,15.1
train_b,1675 days 00:00:00,14.2
train_b,1706 days 00:00:00,12.6
train_b,1734 days 00:00:00,9.9
train_b,1765 days 00:00:00,7.8
train_b,1795 days 00:00:00,7.5
train_b,1826 days 00:00:00,7.2
train_b,1856 days 00:00:00,7.0
train_b,1887 days 00:00:00,6.7
train_b,1918 days 00:00:00,6.5
train_b,1948 days 00:00:00,6.8
train_b,1979 days 00:00:00,6.7
train_b,2009 days 00:00:00,6.0
train_b,2040 days 00:00:00,5.4
train_b,2071 days 00:00:00,5.0
train_b,2099 days 00:00:00,4.6
train_b,2130 days 00:00:00,4.3
train_b,2160 days 00:00:00,3.9
train_c,0 days 00:00:00,69.5
train_c,31 days 00:00:00,67.1
train_c,61 days 00:00:00,64.8
train_c,92 days 00:00:00,63.0
train_c,123 days 00:00:00,60.2
train_c,153 days 00:00:00,57.9
train_c,184 days 00:00:00,56.6
train_c,214 days 00:00:00,55.7
train_c,245 days 00:00:00,54.5
train_c,276 days 00:00:00,53.2
train_c,304 days 00:00:00,52.3
train_c,335 days 00:00:00,49.3
train_c,365 days 00:00:00,45.0
train_c,396 days 00:00:00,44.5
train_c,426 days 00:00:00,44.6
train_c,457 days 00:00:00,41.9
train_c,488 days 00:00:00,39.4
train_c,518 days 00:00:00,38.9
train_c,549 days 00:00:00,38.4
train_c,579 days 00:00:00,36.0
train_c,610 days 00:00:00,33.0
train_c,641 days 00:00:00,29.7
train_c,669 days 00:00:00,27.4
train_c,700 days 00:00:00,27.0
train_c,730 days 00:00:00,27.4
train_c,761 days 00:00:00,26.2
train_c,791 days 00:00:00,25.0
